time,open,high,low,close,VWAP,Upper Band #1,Lower Band #1,Volume
1676678400,24577.6,24879.33,24407.67,24636.23,23497.191465420834,24493.926096264033,22500.456834577635,6191.17379627
1676764800,24635.85,25200,24192.7,24281.31,23583.013690061063,24581.4027903679,22584.624589754225,9733.21021005
1676851200,24278.81,25128.11,23841.08,24844.97,24604.72,24604.72,24604.72,13977.17943437
1676937600,24844.21,25288.88,24153.96,24454.43,24619.716339569957,24633.520628517934,24605.91205062198,16495.36727028
1677024000,24454.08,24480,23581.64,24184.44,24424.3541943501,24683.196157329356,24165.512231370845,17390.31077874
1677110400,24184.9,24600.95,23612.59,23943.32,24327.484633610908,24603.55331290374,24051.415954318076,16847.70433307
1677196800,23943.32,24132.67,22520,23186.88,24071.41275843242,24581.591172556924,23561.234344307915,20933.97488913
1677283200,23186.88,23220.56,22716.47,23159.71,24004.04158931474,24559.809870643538,23448.273307985943,5937.43847794
1677369600,23159.71,23689.77,23052.78,23556.83,23968.589656992895,24524.180560590954,23412.998753394837,6063.45918348
1677456000,23556.83,23895.51,23109.06,23489.52,23498.030000000002,23498.030000000002,23498.030000000002,12098.67253518
1677542400,23490.01,23597.98,23027.24,23145.32,23391.84729788955,23511.575038241797,23272.119557537306,9516.02766667
1677628800,23144.37,23999.99,23025.17,23631.52,23449.564344741822,23572.451852777423,23326.67683670622,12151.84539817
1677715200,23632.12,23798.62,23196.09,23468.24,23457.74704226334,23567.753886844603,23347.74019768208,9239.93644458
1677801600,23468.79,23477.28,21988.02,22358.18,23172.58555939387,23583.789579379405,22761.381539408332,21715.09355721
1677888000,22358.18,22409.82,22150.71,22350.95,23143.195212299837,23576.828422713024,22709.56200188665,2266.21497947
1677974400,22349.74,22654.64,22195.13,22432.69,23090.79458741936,23547.99073765984,22633.598437178884,5291.96467583
1678060800,22431.99,22599.99,22264.73,22410.31,22425.01,22425.010244140623,22425.009755859373,10660.04864303
1678147200,22410.13,22557.03,21932.74,22198.48,22328.50917302577,22426.297254153782,22230.721091897758,10381.24422759
1678233600,22198.09,22281.55,21580.84,21698.37,22144.20694100714,22387.955931313496,21900.457950700787,13343.72575834
1678320000,21699.41,21825.53,20050,20367.01,21609.555835885152,22314.936703704276,20904.17496806603,21326.08097071
1678406400,20366.97,20369.78,19568.52,20230.08,21041.38988929411,21977.003091585095,20105.776687003126,32126.59207482
1678492800,20230.07,20964.5,19900.5,20620.54,20944.584934193095,21818.50381777653,20070.66605060966,18920.85100043
1678579200,20619.34,22276.69,20446.24,22219.08,21051.54312745854,21894.881459514934,20208.204795402144,19165.53317335
1678665600,22216.02,24710,21882.63,24220,23604.210000000003,23604.210000000003,23604.210000000003,38654.82408388
1678752000,24220,26553.9,24052,24762.65,24413.49554029906,25171.169815421654,23655.821265176466,44100.36444555
1678838400,24761.61,25300,23931.01,24377.16,24446.206877430162,25097.199284854676,23795.21447000565,30128.4276161
1678924800,24377.16,25235.28,24207.54,25051.85,24506.052962195587,25120.426698847852,23891.67922554332,20754.42573365
1679011200,25052.11,27834.54,24946.86,27453.62,25029.26043885947,26118.728730442686,23939.792147276254,40752.19373629
1679097600,27453.75,27780,26652.45,26980.35,25227.47190118564,26433.275561341798,24021.66824102948,18096.24372219
1679184000,26980.35,28478,26904,28054.46,25436.057385587217,26789.662153512363,24082.45261766207,16897.41761964
1679270400,28058.15,28578.63,27218.36,27823.32,27873.436666666665,27873.436666666665,27873.436666666665,23782.6567676
1679356800,27822.85,28605.32,27414.77,28207.33,27955.411559879372,28054.756293118426,27856.06682664032,16193.18924882
1679443200,28201.22,28937.73,26678.16,27325.15,27813.726421064574,27983.89083522707,27643.562006902077,33974.43697526
1679529600,27324.05,28839.68,27189.19,28352.94,27896.89778326148,28097.983278317173,27695.812288205787,26698.29660165
1679616000,28352.95,28433.34,27027.88,27489.24,27852.323481535885,28057.60945865559,27647.03750441618,22190.91292623
1679702400,27489.24,27818.67,27184.78,27488.18,27826.44366425666,28044.59867233119,27608.288656182132,9655.9494554
1679788800,27489.56,28230.32,27445.04,27992.9,27830.78115944389,28041.892696834235,27619.669622053545,9800.64299441
1679875200,27995.27,28053.26,26525,27142.87,27240.376666666663,27240.376666666663,27240.376666666663,17268.16335715
1679961600,27142.85,27519.99,26640,27274.15,27197.36937037473,27244.95711865847,27149.78162209099,14103.92919115
1680048000,27274.18,28654.06,27255.42,28359.54,27519.344099045873,27949.552245146588,27089.13595294516,17710.8595857
1680134400,28359.54,29190.04,27693.7,28035.48,27754.9665337217,28264.479747595582,27245.45331984782,20972.43924037
1680220800,28034.88,28650.2,27512.97,28474.4,27852.25213339725,28341.59459530452,27362.909671489982,18917.3621471
1680307200,28475.41,28826.45,28223.76,28471.46,27899.948345896308,28400.930511648832,27398.966180143783,6988.04239657
1680393600,28471.03,28544.21,27862.69,28188.34,27919.44888362023,28409.37217223465,27429.52559500581,6707.97702984
1680480000,28188.34,28525,27227.61,27811.77,27854.793333333335,27854.793333333335,27854.793333333335,16192.03702141
1680566400,27809.55,28450,27670.24,28179.64,27965.182059544095,28087.157324119,27843.20679496919,13261.95025317
1680652800,28178.66,28799.99,27817.32,28175.37,28066.384904876122,28239.200138542787,27893.569671209458,15066.72449529
1680739200,28175.27,28199.11,27716.77,28053.46,28052.001277186806,28210.596634020105,27893.405920353507,10291.80646097
1680825600,28052.74,28120.71,27790.21,27931.94,28041.93871553129,28195.81147323799,27888.06595782459,5847.77200458
1680912000,27930.12,28175.89,27881.01,27958.81,28039.74600360483,28189.204881528985,27890.287125680672,3854.33490363
1680998400,27958.19,28547.67,27814,28340.99,28056.637128851307,28209.59907710071,27903.675180601906,6136.4286229
1681084800,28342.28,29794.47,28162.49,29660.41,29205.790000000005,29205.790000000005,29205.790000000005,15752.30418782
1681171200,29657.7,30584.58,29612.3,30227.19,29712.81540612058,30178.94983594533,29246.68097629583,18637.22157812
1681257600,30227.18,30517,29675,29912.2,29810.407739431143,30226.704472628127,29394.111006234158,14961.08403219
1681344000,29912.2,30627.05,29878.08,30406.78,29910.19017611746,30331.5676625487,29488.81268968622,12505.27274115
1681430400,30410.03,31050,30000,30492.92,30056.640839011296,30505.57333065999,29607.7083473626,19793.55777592
1681516800,30492.91,30622.38,30231.76,30324.11,30077.804699736826,30519.97593603386,29635.63346343979,5486.7222394
1681603200,30325.07,30572.1,30148.28,30326.09,30095.889507451076,30528.374317250407,29663.404697651746,6230.24911461
1681689600,30321.41,30340.21,29251.71,29449.91,29680.61,29680.61,29680.61,13418.0380446
1681776000,29449.91,30500,29103.89,30393.4,29835.15856988588,29994.332683382952,29675.984456388807,12649.52217446
1681862400,30394.5,30430.72,28595.28,28809.72,29587.143991794666,29888.103311293846,29286.184672295487,20951.87851572
1681948800,28809.71,29102.69,27991.32,28248.18,29284.394934198175,29850.007231356114,28718.782637040236,17007.31210311
1682035200,28248.18,28371.88,27133,27253.85,28885.365894113827,29758.93972211893,28011.792066108726,19665.99126045
1682121600,27252.96,27887.78,27133,27821.41,28780.08266474871,29687.107810965263,27873.057518532154,7556.85769964
1682208000,27820.99,27820.99,27333.2,27592.98,28703.24087262759,29628.465282770776,27778.016462484404,6255.76778325
1682294400,27592.7,28000,26965.14,27515.05,27493.396666666667,27493.396666666667,27493.396666666667,12258.59093046
1682380800,27513.85,28400,27194.51,28304.42,27727.466464459772,27963.911083912775,27491.02184500677,12013.57991051
1682467200,28304.42,30050.66,27230.77,28426.08,28203.752411799604,28649.07740077186,27758.427422827346,31636.39150463
1682553600,28428.86,29900,28387.07,29483.72,28522.918117411966,29133.23488681832,27912.60134800561,24310.36359778
1682640000,29486.97,29606.45,28900,29338.63,28636.92404415081,29261.44626004792,28012.401828253696,14184.03938836
1682726400,29339.47,29470,29057.3,29249.35,28667.671880591202,29291.31010509985,28044.033656082556,4909.72717806
1682812800,29249.24,29969.99,29095.92,29247.14,28717.268044199056,29349.410411309127,28085.125677088985,6837.06831371
1682899200,29240.49,29348.6,27664.31,28077.27,28363.393333333337,28363.393333333337,28363.393333333337,17953.11670042
1682985600,28077.44,28899.99,27871.44,28684.4,28415.168848707104,28475.417237953396,28354.920459460813,13258.60505694
1683072000,28683.41,29276.12,28122,29038.75,28547.446249506233,28740.975667371393,28353.916831641072,15588.83462733
1683158400,29039.36,29383.5,28674.58,28857.23,28624.638727663707,28864.296895385778,28384.980559941636,10407.16067489
1683244800,28857.88,29706.57,28810,29536.76,28773.078961341962,29135.712613865977,28410.445308817947,14691.1261171
1683331200,29538.87,29850,28394,28902.66,28802.381641938362,29155.588539940858,28449.174743935866,8546.79874854
1683417600,28901.3,29189.71,28429.12,28474.53,28795.251968633114,29137.225838690483,28453.278098575745,5884.67007423
1683504000,28472.68,28676.38,27279.66,27695.06,27883.699999999997,27883.700488281247,27883.699511718747,15859.41839592
1683590400,27693.24,27833.64,27367.01,27647.29,27787.54578494553,27915.985550522517,27659.106019368544,8888.42683618
1683676800,27647.29,28334.75,26800,27624.01,27701.197741107517,27840.28551316932,27562.109969045712,18590.96989908
1683763200,27621.5,27649.85,26702,26986.56,27561.929992037207,27839.986425507657,27283.873558566756,13438.74631738
1683849600,26986.79,27099.21,25810,26808.84,27319.22714861185,27808.650327509884,26829.80396971382,18458.49543497
1683936000,26808.8,27060.24,26700,26789.48,27291.17629471601,27778.614750545214,26803.737838886806,4782.64422745
1684022400,26786.99,27221.51,26581.52,26929.98,27271.39024859084,27753.42885533356,26789.35164184812,4393.20531359
1684108800,26929.98,27678.73,26740.95,27171.13,27196.936666666665,27196.936666666665,27196.936666666665,11889.94842508
1684195200,27165.26,27302.99,26860.12,27037.68,27133.846977949088,27198.822137115192,27068.871818782984,11209.90767959
1684281600,27037.72,27516.58,26543.87,27407.77,27141.971522434582,27194.821598386206,27089.121446482957,13308.63176925
1684368000,27407.76,27487.71,26361.52,26820.49,27077.147164528968,27196.363593352078,26957.930735705857,12604.94858584
1684454400,26819.64,27190.35,26632.73,26890.27,27053.99659937052,27179.572910628114,26928.420288112924,7587.52629065
1684540800,26890.27,27178.99,26836.21,27113.61,27053.41749220943,27175.686786032715,26931.14819838615,3127.42757901
1684627200,27113.97,27288.02,26667.63,26752.65,27040.64177229857,27164.913410243655,26916.37013435349,5534.52475759
1684713600,26751,27105.63,26536.99,26854.73,26832.45,26832.45,26832.45,8554.42214009
1684800000,26854.09,27500,26803.46,27223.22,27029.889558402036,27199.48055952311,26860.298557280963,11594.53703302
1684886400,27222.86,27225,26070.04,26321.4,26802.767030910723,27077.373912787567,26528.16014903388,17337.44431587
1684972800,26321.42,26625.93,25864.35,26479.06,26685.763191424183,27001.113095452944,26370.413287395422,12094.45706071
1685059200,26479.15,26950,26334.33,26714.86,26682.55106896533,26970.654277777503,26394.44786015316,9858.60032184
1685145600,26711.56,26943.6,26559.96,26867.99,26688.30870848844,26969.67233177881,26406.94508519807,3348.37908169
1685232000,26870.13,28277.56,26780.11,28070.04,26825.237449909328,27260.659736080852,26389.815163737803,9725.64198967
1685318400,28070.04,28473.93,27534.81,27744.82,27917.853333333336,27917.853333333336,27917.853333333336,11355.24110493
1685404800,27744.81,28057.23,27555,27700.15,27842.21870569042,27915.71857944767,27768.718831933165,12024.43059692
1685491200,27700.68,27844.89,26842.94,27223.08,27630.335628193578,27899.591873791574,27361.07938259558,15163.06255735
1685577600,27221.54,27360.31,26615,26828.42,27465.90771696722,27843.705272841555,27088.110161092885,11927.59445097
1685664000,26827.73,27307.44,26508,27250.69,27379.46568874492,27761.343451728895,26997.587925760945,12206.16873203
1685750400,27252.67,27341.13,26923.35,27077.6,27365.08804298281,27741.307797924474,26988.868288041147,3589.32341986
1685836800,27078.27,27466.83,26958.98,27122.04,27354.41913230817,27721.976579581074,26986.861685035263,4115.09881956
1685923200,27122.03,27137.75,25391.43,25741.5,26090.226666666666,26090.226666666666,26090.226666666666,16641.46931851
1686009600,25741.5,27368.67,25351.92,27243.63,26387.647138144534,26669.496184446423,26105.798091842644,18531.05925936
1686096000,27243.45,27402.79,26121.06,26346.41,26461.66401381541,26719.487737015515,26203.840290615306,16094.36989743
1686182400,26347.09,26820.3,26212.63,26508.32,26468.816663152695,26708.954383918164,26228.678942387225,8160.84833962
1686268800,26505.71,26780.4,26283.5,26482.81,26475.857827167107,26697.806219670092,26253.90943466412,10536.83247431
1686355200,26482.8,26534.95,25385.52,25856.1,26368.441745760698,26663.776655953057,26073.10683556834,16967.73205546
1686441600,25856.1,26219.1,25648,25937.02,26329.173785398805,26637.095804193716,26021.251766603895,8653.83803604
1686528000,25936.98,26108.64,25616.98,25905.82,25877.146666666667,25877.146666666667,25877.146666666667,10491.06768405
1686614400,25905.99,26435.81,25710.78,25930.23,25963.025683092837,26036.335936920448,25889.715429265227,14396.74678337
1686700800,25929.35,26090,24821,25123.34,25735.62165088244,26039.392194987056,25431.851106777824,14480.51749351
1686787200,25123.41,25749.99,24750,25569.99,25614.020900108197,25920.553504893633,25307.48829532276,18601.18891862
1686873600,25569.99,26486.56,25143.24,26329.6,25697.05852204333,26008.57884159384,25385.538202492822,16632.7425402
1686960000,26329.6,26783.2,26165.98,26506.56,25766.515386926523,26138.55560114065,25394.475172712395,7209.4251028
1687046400,26507.97,26693.11,26245.27,26336.46,25806.104178597103,26199.284648473018,25412.923708721188,5233.68378154
1687132800,26336.46,27040.64,26250,26837.78,26709.47333333333,26709.47333333333,26709.47333333333,9643.06748389
1687219200,26839.04,28417.11,26637.41,28320.43,27519.52092115531,27989.02864621909,27050.013196091528,28704.55295587
